density,freq,condition,run,risk_score
HIGH,FAST,ai,1,274
HIGH,FAST,ai,2,1592
HIGH,FAST,ai,3,322
HIGH,FAST,ai,4,834
HIGH,FAST,ai,5,362
HIGH,FAST,ai,6,1092
HIGH,FAST,ai,7,970
HIGH,FAST,ai,8,1482
HIGH,FAST,ai,9,424
HIGH,FAST,ai,10,794
HIGH,FAST,ai,11,1010
HIGH,FAST,ai,12,862
HIGH,FAST,ai,13,180
HIGH,FAST,ai,14,606
HIGH,FAST,ai,15,452
HIGH,FAST,ai,16,526
HIGH,FAST,ai,17,202
HIGH,FAST,ai,18,1336
HIGH,FAST,ai,19,272
HIGH,FAST,ai,20,42
HIGH,FAST,ai,21,680
HIGH,FAST,ai,22,1282
HIGH,FAST,ai,23,644
HIGH,FAST,ai,24,1400
HIGH,FAST,ai,25,1416
HIGH,FAST,ai,26,552
HIGH,FAST,ai,27,712
HIGH,FAST,ai,28,554
HIGH,FAST,ai,29,512
HIGH,FAST,ai,30,492
HIGH,MID,baseline,1,72
HIGH,MID,baseline,2,1014
HIGH,MID,baseline,3,236
HIGH,MID,baseline,4,544
HIGH,MID,baseline,5,2074
HIGH,MID,baseline,6,1748
HIGH,MID,baseline,7,646
HIGH,MID,baseline,8,1270
HIGH,MID,baseline,9,1340
HIGH,MID,baseline,10,610
HIGH,MID,baseline,11,316
HIGH,MID,baseline,12,918
HIGH,MID,baseline,13,1010
HIGH,MID,baseline,14,500
HIGH,MID,baseline,15,632
HIGH,MID,baseline,16,918
HIGH,MID,baseline,17,632
HIGH,MID,baseline,18,496
HIGH,MID,baseline,19,1370
HIGH,MID,baseline,20,1026
HIGH,MID,baseline,21,482
HIGH,MID,baseline,22,714
HIGH,MID,baseline,23,2238
HIGH,MID,baseline,24,1568
HIGH,MID,baseline,25,1954
HIGH,MID,baseline,26,260
HIGH,MID,baseline,27,420
HIGH,MID,baseline,28,838
HIGH,MID,baseline,29,504
HIGH,MID,baseline,30,1696
HIGH,MID,ai,1,860
HIGH,MID,ai,2,1518
HIGH,MID,ai,3,626
HIGH,MID,ai,4,368
HIGH,MID,ai,5,428
HIGH,MID,ai,6,1018
HIGH,MID,ai,7,920
HIGH,MID,ai,8,468
HIGH,MID,ai,9,322
HIGH,MID,ai,10,468
HIGH,MID,ai,11,1174
HIGH,MID,ai,12,324
HIGH,MID,ai,13,888
HIGH,MID,ai,14,1608
HIGH,MID,ai,15,1872
HIGH,MID,ai,16,1414
HIGH,MID,ai,17,2544
HIGH,MID,ai,18,1024
HIGH,MID,ai,19,1018
HIGH,MID,ai,20,392
HIGH,MID,ai,21,1630
HIGH,MID,ai,22,1036
HIGH,MID,ai,23,1114
HIGH,MID,ai,24,514
HIGH,MID,ai,25,2660
HIGH,MID,ai,26,496
HIGH,MID,ai,27,2018
HIGH,MID,ai,28,562
HIGH,MID,ai,29,1006
HIGH,MID,ai,30,1908
HIGH,SLOW,baseline,1,592
HIGH,SLOW,baseline,2,682
HIGH,SLOW,baseline,3,398
HIGH,SLOW,baseline,4,1066
HIGH,SLOW,baseline,5,620
HIGH,SLOW,baseline,6,1060
HIGH,SLOW,baseline,7,1538
HIGH,SLOW,baseline,8,178
HIGH,SLOW,baseline,9,1122
HIGH,SLOW,baseline,10,830
HIGH,SLOW,baseline,11,1404
HIGH,SLOW,baseline,12,1616
HIGH,SLOW,baseline,13,530
HIGH,SLOW,baseline,14,570
HIGH,SLOW,baseline,15,750
HIGH,SLOW,baseline,16,230
HIGH,SLOW,baseline,17,374
HIGH,SLOW,baseline,18,476
HIGH,SLOW,baseline,19,540
HIGH,SLOW,baseline,20,1148
HIGH,SLOW,baseline,21,558
HIGH,SLOW,baseline,22,1534
HIGH,SLOW,baseline,23,402
HIGH,SLOW,baseline,24,968
HIGH,SLOW,baseline,25,1462
HIGH,SLOW,baseline,26,1212
HIGH,SLOW,baseline,27,1458
HIGH,SLOW,baseline,28,736
HIGH,SLOW,baseline,29,338
HIGH,SLOW,baseline,30,306
HIGH,SLOW,ai,1,534
HIGH,SLOW,ai,2,2404
HIGH,SLOW,ai,3,684
HIGH,SLOW,ai,4,1852
HIGH,SLOW,ai,5,1742
HIGH,SLOW,ai,6,448
HIGH,SLOW,ai,7,1252
HIGH,SLOW,ai,8,586
HIGH,SLOW,ai,9,1506
HIGH,SLOW,ai,10,972
HIGH,SLOW,ai,11,1928
HIGH,SLOW,ai,12,888
HIGH,SLOW,ai,13,558
HIGH,SLOW,ai,14,582
HIGH,SLOW,ai,15,570
HIGH,SLOW,ai,16,598
HIGH,SLOW,ai,17,1272
HIGH,SLOW,ai,18,114
HIGH,SLOW,ai,19,440
HIGH,SLOW,ai,20,188
HIGH,SLOW,ai,21,1180
HIGH,SLOW,ai,22,1168
HIGH,SLOW,ai,23,884
HIGH,SLOW,ai,24,734
HIGH,SLOW,ai,25,1338
HIGH,SLOW,ai,26,780
HIGH,SLOW,ai,27,728
HIGH,SLOW,ai,28,1146
HIGH,SLOW,ai,29,570
HIGH,SLOW,ai,30,1576
